Id;Title;Rating;NumReviews;NumFeedback
8176;Android libraries I wish I knew about when I started;1.0;10;2
8273;A software architect and a big band drummer walk into a bar, and their parallel universes collide. ;20.6;5;2
8492;Beyond Bitcoin: What To Do With Blockchain?;87.5;4;2
8030;Building composable abstractions;80.0;5;2
7812;Building Secure(r) applications using Language-theoretic security.;100.0;4;2
8202;Case studies of enterprise IT governance models for architecture and framework for architecture maturity assessment ;60.0;5;1
7834;Cloud Detour – Resiliency Testing tool for the Cloud Resources;100.0;3;2
8138;Component Systems in the Field: Integrating and Controlling System Services Easily using Connectors;100.0;3;0
7980;Continuous Integration: A Lost Art;75.0;4;0
8183;Crowdsourcing Software Architecture – The Distributed Architect;100.0;4;0
8059;Designing with NoSQL Databases;66.8333333333333;6;1
7557;DevOps, architecture, and security in a cloud;100.0;4;1
7708;Drag & Drop and WebVR! Drag and drop your reality and create Virtual Reality!;1.0;5;1
8191;Efficient Debugging: Taking bisecting to the next level;1.0;6;1
6588;Event Driven Application Architectures;60.0;5;2
7928;"Failure" as Success: the Mindset, the Methods, and the Landmines;87.5;4;0
6308;Fixing Agile;37.75;4;2
8172;Functional programming invades architecture;100.0;4;2
8078;Get management attention and transform your software: communicating architecture with value proposition design;100.0;4;2
8193;git gone wild: how to recover from common git mistakes.;1.0;5;1
8139;Hemispheric Data Capsules for Non-intrusive Testing of Time-Triggered Real-Time Systems;83.3333333333333;3;2
7300;High-Performance Multi-Threaded Immutable Store for C++;100.0;3;0
8057;Holistic Info-Sec Applied;1.0;5;0
8010;How to organize your code;13.25;4;2
8166;Intro to Chaos - Chaos Engineering in your world;13.25;4;0
8058;It can be done! Growing an Architect's Community;87.5;4;1
8120;Keep CALM and Architect On:  An Architects Role in DevOps;100.0;4;0
8032;Love Your Architecture II;75.25;4;0
7950;Method for Business Function Allocation and Interface Definition in System-of-Systems Architecture .;100.0;4;2
7979;Our journey to Continuous Delivery ;75.25;4;2
8140;Reliable Statements about a Fault-Tolerant X-by-Wire eCar;83.3333333333333;3;2
7964;Responsive Design;1.0;4;2
8129;Safety and security in mission critical IoT systems;100.0;3;1
8055;Secrets of a high performance security focussed Agile Team;25.5;4;2
8048;Software Architecture as Systems Dissolve;90.0;5;2
8192;Taking a byte of Java Bytecode;1.0;4;2
7000;The Advanced Deterministic Random Number Generator (ADRNG) for the Linux Kernel;1.0;4;2
8136;The Design of Intelligent Software Systems for Diagnosis & Decision Support in Cyber-Physical Systems;37.75;4;2
8200;The Intentional Architect;25.75;4;0
7614;Turning Sensors into Signals: Free your IoT from  walled gardens with JavaScript;13.25;4;1
8031;Ultimate Architecture Enforcement – Write Your Own Rules and Enforce Them Continuously;100.0;3;2
8177;WebSocket to me!;25.5;4;1
7857;Wild Styles - 3 ways to style programmatically... and quickly!;25.5;4;2
